alltag,contentsid,title,address,roadaddress,tag,introduction,readcnt,likecnt,reviewcnt,markcnt,snssharecnt,schedulecnt,visitcnt,evelpt,latitude,longitude,postcode,phoneno,sbst,created,changed,catemappList,festivalcontents,PHOTOSHARECOUNT,reservelink,contentscd.value,contentscd.label,contentscd.refId,region1cd.value,region1cd.label,region1cd.refId,region2cd.value,region2cd.label,region2cd.refId,repPhoto.descseo,repPhoto.photoid.photoid,repPhoto.photoid.imgpath,repPhoto.photoid.thumbnailpath,category,repPhoto
"Forest Paths,On Foot,Friends,Couples,Overcast,Spring,forest,photospot,naturalscenery,walking,travelonfoot,forestpath,fallfoliage,Restrooms,Difficult",CONT_000000000500281,Saryeoni Forest Path,"Jocheon-eup, Jeju-si, / Pyoseon-myeon, Seogwipo-si","Jocheon-eup, Jeju-si, / Pyoseon-myeon, Seogwipo-si","Forest Paths,On Foot,Friends,Couples,Overcast,Spring,forest,photospot,naturalscenery,walking,travelonfoot,forestpath,fallfoliage,touristdestination",Enjoy the Island's Pristine Natural Environment,851705,264,510,3743,1258,0,18,5.0,33.40845,126.63976,,064-900-8800,"Saryeoni Forest Path is a forest walking trail that starts from Bijarim-ro and goes through Mulchat Oreum Volcanic Cone and Saryeoni Oreum Volcanic Cone. Its starting point is located at National Road No. 1112, which is thick with Japanese cedars. A variety of species of trees grow in the forest, such as Konara Oak, Red-Leaved Hornbeam, Japanese Snowbell, Hinoki Cypress, and Japanese cedar and average altitude is 550m. It is one of the hidden 31 views of Jeju-si. It is popular among tourists who love hiking, because the nature of the forest hasn’t been tampered with.",20160530111636,20240810032556,"[{'seq': 30636, 'contentsid': {'value': 'CONT_000000000500281', 'label': 'Saryeoni Forest Path', 'refId': 'CONT_000000000500281'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000001320', 'label': 'Walking Tour', 'refId': 'cate0000000002>cate0000001320'}, 'cate3cd': {'value': 'cate0000001411', 'label': 'Eco Trail', 'refId': 'cate0000001320>cate0000001411'}, 'created': '20220418154320'}, {'seq': 30637, 'contentsid': {'value': 'CONT_000000000500281', 'label': 'Saryeoni Forest Path', 'refId': 'CONT_000000000500281'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000001321', 'label': 'Etc', 'refId': 'cate0000000009>cate0000001321'}, 'created': '20220418154320'}]",,859.0,,c1,Tourist Destination,contentscd>c1,region1,Jeju-si,region>region1,15,Jocheon,region1>15,Saryeoni Forest Path,18168.0,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/552458b3-55a3-4589-b2e7-d8f29d1ca277.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/c9c42359-f82f-43a4-919e-03ecd197a2eb.jpg,nature,
"photo zone,couples,kids,fall,flowers,springflowers,camellias,photospot,naturalscenery,attractions,healing,excellenttourismbusiness,hydrangea, spring,Public Parking,Cash Payment,Credit Card Payment,Restrooms,Exclusive Access,Step,Disabled Washrooms,Parking for Disabled Persons,Availability of Manual Wheelchair Rental,Very Difficult,Outdoor,Medium,Performance / Exhibition,Photo Spot,2 to 3 hours",CNTS_000000000001195,Camellia Hill,"271 Sangchang-ri, Andeok-myeon, Seogwipo","166 Byeongak-ro, Andeok-myeon, Seogwipo","photo zone,couples,kids,fall,flowers,springflowers,camellias,photospot,naturalscenery,attractions,healing,excellenttourismbusiness,hydrangea,spring,touristdestination","Despite the name, Camellia Hill is one of the island’s many gardens that feature hundreds of different species of plants.",274253,203,490,3740,215,0,31,5.0,33.289135,126.37011,,064-800-6296,"Located in Sangchang Village, Andeok-myeon, the 20-hectare park holds some 6,000 camellia trees and over 500 different species of wildflowers, trees and other plants, like hydrangeas. It’s about an hour by bus to the southwest of Jeju City.

Camellia Hill also has facilities like a gallery for camellia-themed crafts, green houses, a multipurpose seminar room, and more.",20160818110859,20240810034808,"[{'seq': 44577, 'contentsid': {'value': 'CNTS_000000000001195', 'label': 'Camellia Hill', 'refId': 'CNTS_000000000001195'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000001251', 'label': 'Theme Tourist Sites', 'refId': 'cate0000000002>cate0000001251'}, 'cate3cd': {'value': 'cate0000000058', 'label': 'Theme Parks', 'refId': 'cate0000001251>cate0000000058'}, 'created': '20240621152706'}, {'seq': 44578, 'contentsid': {'value': 'CNTS_000000000001195', 'label': 'Camellia Hill', 'refId': 'CNTS_000000000001195'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'pet', 'label': ' ', 'refId': 'cate0000000002>pet'}, 'cate3cd': {'value': 'pet_view', 'label': ' ', 'refId': 'pet>pet_view'}, 'created': '20240621152706'}]",,1038.0,,c1,Tourist Destination,contentscd>c1,region2,Seogwipo-si,region>region2,23,Andeok,region2>23,카멜리아힐,2019022634020.0,https://api.cdn.visitjeju.net/photomng/imgpath/202406/21/89a96d34-f3a7-4645-bb3c-0dee9f0d41b6.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202406/21/0db4507a-36a3-4bc5-8259-ba29838e1717.jpg,nature,
"Seaside,Landscapes,Couples,Summer,funinthewater,beach,healing,naturalscenery,photospot,Public Parking,Restrooms,Convenience Store,Beverage Stand,Hentian Minuman,Guidance and Information Facilities,Very Difficult",CONT_000000000500496,Woljeong-ri Beach,"33-3, Woljeong-ri, Gujwa-eup, Jeju-si, Jeju-do","33-3, Woljeong-ri, Gujwa-eup, Jeju-si, Jeju-do","Seaside,Landscapes,Couples,Summer,funinthewater,beach,healing,naturalscenery,photospot,touristdestination",Jeju's Warm and Cozy Ocean Offering,214880,119,444,2832,137,0,5,5.0,33.555809408904416,126.79662397696836,63358,064-783-5798,"Well known for its beautiful scenery, the white sands and emerald waters, Jeju Woljeongri Beach has a road filled with tea houses and coffee shops. A great stopover during your cruise through Jejudo Island, and one of few places to enjoy an exotic view.",20160530111636,20240810032047,"[{'seq': 44876, 'contentsid': {'value': 'CONT_000000000500496', 'label': 'Woljeong-ri Beach', 'refId': 'CONT_000000000500496'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000037', 'label': 'Beaches', 'refId': 'cate0000000009>cate0000000037'}, 'created': '20240710161545'}]",,747.0,,c1,Tourist Destination,contentscd>c1,region1,Jeju-si,region>region1,16,Gujwa,region1>16,월정리해수욕장,2019022635057.0,https://api.cdn.visitjeju.net/photomng/imgpath/202407/10/0efd8c73-00f9-4b7c-9a4e-8534e3dcd35e.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202407/10/6136a994-a08d-495a-a912-0a1e7b1171e8.jpg,nature,
"Sunset,Night,Volcanic Cones,On Foot,Children,Spring,naturalscenery,walking,travelonfoot,kids,sunset,sunsetpoint,silvergrass,touristdestination,Public Parking,Restrooms,Guidance and Information Facilities,Very Difficult,Outdoor,Less than 1 hour",CONT_000000000500309,Saebyeol Oreum Volcanic Cone,"San 59-8, Bongseong-ri, Aewol-eup, Jeju-si, Jeju-do","San 59-8, Bongseong-ri, Aewol-eup, Jeju-si, Jeju-do","Sunset,Night,Volcanic Cones,On Foot,Children,Spring,naturalscenery,walking,travelonfoot,kids,sunset,sunsetpoint,silvergrass,touristdestination",A Volcanic Cone That Burns Like a Star,334019,71,362,1488,312,0,35,5.0,33.36723,126.35711,63040,064-728-2753/064-728-2762,"With the southern peak as its summit, the volcanic cone had ridges to the southwest, northwest, and northeast. The western side is open widely in the shape of a Samtaegi (straw basket) to the north. There are 5 peaks that resemble a round asterisk. The volcanic cone is generally covered in grass, though the northern slope is partially covered in scrubs, and there is a cemetery on the northwestern slope. The volcanic cone gets its name from the fact that it stands along with the morning star under the evening sky.",20160530111636,20240810034503,"[{'seq': 36455, 'contentsid': {'value': 'CONT_000000000500309', 'label': 'Saebyeol Oreum Volcanic Cone', 'refId': 'CONT_000000000500309'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000035', 'label': 'Volcanic Cones', 'refId': 'cate0000000009>cate0000000035'}, 'created': '20230526102115'}, {'seq': 36456, 'contentsid': {'value': 'CONT_000000000500309', 'label': 'Saebyeol Oreum Volcanic Cone', 'refId': 'CONT_000000000500309'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'pet', 'label': ' ', 'refId': 'cate0000000002>pet'}, 'cate3cd': {'value': 'pet_view', 'label': ' ', 'refId': 'pet>pet_view'}, 'created': '20230526102115'}]",,660.0,,c1,Tourist Destination,contentscd>c1,region1,Jeju-si,region>region1,12,Aewol,region1>12,새별오름,2019022583537.0,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/380f2ed7-9680-4f51-a5f7-1c52771d3c11.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/20/44ef8fe0-fd1b-4638-a01c-df4ee5a005e9.jpg,nature,
"Volcanic Cones,On Foot,Friends,Sunny,Fall,naturalscenery,excellenttourismbusiness,silvergrass,touristdestination,Public Parking,Cash Payment,Credit Card Payment,Restrooms,Convenience Store,Beverage Stand,Hentian Minuman,Exclusive Access,Step,Disabled Washrooms,Parking for Disabled Persons,Availability of Manual Wheelchair Rental,Difficult,Excellent Service Shop,Outdoor,High,Mountain Climbing,Mendaki gunung,산책로, 등산로,1 to 2 hours",CONT_000000000500283,Sangumburi Crater,"768, Bijarim-ro, Jocheon-eup, Jeju-si, Jeju-do","768, Bijarim-ro, Jocheon-eup, Jeju-si, Jeju-do","Volcanic Cones,On Foot,Friends,Sunny,Fall,naturalscenery,excellenttourismbusiness,silvergrass,touristdestination",State-Designated Heritage Natural Monument 263,154963,55,362,1465,54,0,21,5.0,33.4316207,126.6900058,,064-783-9900,"Sangumburi Crater&nbsp;differs from the 360 or more parasitic cones of Jeju in that it was not formed when the materials ejected from the eruption stacked. Instead, it is a maar-type parasitic cone that was formed as a crater with a hole in it when many materials were ejected. The inner area is 300,000㎡, while the interior bottom circumference is 756m, and the exterior circumference is 2,070m. Nearly vertical, the crater is approximately 130m tall, making it slightly larger and deeper than Hallasan Mountain. 

In autumn, when the ridges of Sangumburi Crater are colored gold by waves of silvergrass, the planted Japanese cedar becomes the dominate species that take up most of the eastern and western slopes, with Sawtooth oak in the surrounding area. Furthermore, Korean Fir has been planted to form a forest path. Excluding these lush forests, colonies of Eulalia grass cover large patches of the crater. The colonies of silvergrass are the representative scene of Sangumburi Crater during ",20160530111636,20240810020101,"[{'seq': 43489, 'contentsid': {'value': 'CONT_000000000500283', 'label': 'Sangumburi Crater', 'refId': 'CONT_000000000500283'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000035', 'label': 'Volcanic Cones', 'refId': 'cate0000000009>cate0000000035'}, 'created': '20240201103644'}]",,698.0,,c1,Tourist Destination,contentscd>c1,region1,Jeju-si,region>region1,15,Jocheon,region1>15,Sangumburi Crater,18173.0,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c44bb372-4717-4e89-ad89-2c5dba285168.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a7b4a973-40e9-44e6-87d9-46a4c4f3b367.jpg,nature,
"Sunrise,Seaside,Landscapes,Couples,Sunny,Fall,naturalscenery,beach,funinthewater,photospot,sunrise,canola,springflowers,touristdestination,Public Parking,Cash Payment,Credit Card Payment,Restrooms,Convenience Store,Beverage Stand,Hentian Minuman,Low-floor Bus Access,Akses bas tingkat rendah,Disabled Washrooms,Parking for Disabled Persons,Difficult,Outdoor,High,Mountain Climbing,Mendaki gunung,Etc,산책로,Less than 1 hour",CONT_000000000500343,Seopjikoji,"Seopjikoji-ro, Seongsan-eup, Seogwipo-si, Jeju-do","Seopjikoji-ro, Seongsan-eup, Seogwipo-si, Jeju-do","Sunrise,Seaside,Landscapes,Couples,Sunny,Fall,naturalscenery,beach,funinthewater,photospot,sunrise,canola,springflowers,touristdestination",An Island Treasure Where You Can Walk Along the Coast and Enjoy a Fresh Ocean Breeze,299833,134,347,3680,87,0,20,5.0,33.4305782,126.9277688,,064-740-6000,"Seopjikoji, which is located at the east coast of Jeju Special Self-Governing Province, is a beautiful coastline filled with canola flowers during the spring, with Seongsan Ilchulbong Peak rising up in the background. You can find Sinyang Sandy Beach at the entrance, while the end will let you see the traditional beauties of Jeju, such as a vast land filled with canola flowers growing on the hill, Jeju donkies grazing peacefully, beautiful rock cliffs, and the legendary Seonbawi Rock standing in the middle of the ocean.

What makes Seopjikoji different from other coasts in Jejudo Island is that it is made of red volcanic ash called “scoria”, and possesses strange rock formations that only show themselves when the tide is low are very unique. Filming Site for Movies and Dramas: The Legend of Gingko, The Uprising, Cheonilya, and All In. The picturesque blue house at the sea where Choi Jin-sil lived in in the movie The Legend of Gingko was based on this site. Furthermore, Hyeopja Beacon Fire Station can be found in Seopjikoji, which became famous for being the filming site of the TV drama 「All In」 in 2003. As such, there is no shortage of tourists who seek this place out.",20160530111636,20240810035714,"[{'seq': 39329, 'contentsid': {'value': 'CONT_000000000500343', 'label': 'Seopjikoji', 'refId': 'CONT_000000000500343'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000037', 'label': 'Beaches', 'refId': 'cate0000000009>cate0000000037'}, 'created': '20230717113641'}, {'seq': 39330, 'contentsid': {'value': 'CONT_000000000500343', 'label': 'Seopjikoji', 'refId': 'CONT_000000000500343'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'pet', 'label': ' ', 'refId': 'cate0000000002>pet'}, 'cate3cd': {'value': 'pet_view', 'label': ' ', 'refId': 'pet>pet_view'}, 'created': '20230717113641'}]",,552.0,,c1,Tourist Destination,contentscd>c1,region2,Seogwipo-si,region>region2,17,Seongsan,region2>17,섭지코지,2019022561200.0,https://api.cdn.visitjeju.net/photomng/imgpath/201908/29/83d7988d-9df2-4540-acbe-23d8b3550bfe.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/29/5e753684-1bfd-4a01-bd60-61d10df8b14b.jpg,nature,
"Mountains,On Foot,Landscapes,Friends,Four seasons,UNESCO,hallasan,naturalscenery,photospot,untact,fallfoliage,touristdestination,Public Parking,Restrooms,Convenience Store,Beverage Stand,Hentian Minuman,Low-floor Bus Access,Akses bas tingkat rendah,Disabled Washrooms,Parking for Disabled Persons,Very Difficult,UNESCO Biosphere Reserve Area,UNESCO World Natural Heritage,UNESCO Global Geopark",CONT_000000000500685,Hallasan Mountain,"2070-61, 1100-ro, Jeju-si, Jeju-do","2070-61, 1100-ro, Jeju-si, Jeju-do","Mountains,On Foot,Landscapes,Friends,Four seasons,UNESCO,hallasan,naturalscenery,photospot,untact,fallfoliage,touristdestination","The Treasure of Jeju, Recognized by UNESCO, and a Roe Deer Sanctuary",259762,111,321,1255,154,0,19,5.0,33.36132,126.54195,,064-713-9950,"As one of Korea’s 3 spirit mountains, Hallasan Mountain is located on the southernmost part of the Korean Peninsula, 
and lays claim to the title of South Korea’s tallest mountain with the height of 1,950m above sea level. 
Home to all sorts of vegetation, the mountain possesses immense scientific value 
and is a veritable treasure trove of animals and plants, 
leading to the designation of Hallasan Mountain Natural Reserve as Natural Monument 182 on October 12, 1966. 

In fall, when everything is blanketed by a colorful display of flowers, 
the mountain covered with the red color of the fall foliage is truly a sight to behold, 
while the snow-covered mountain in the winter stands out as the view to surpass all views. 
A young volcanic mountain from the Quarternary Period of the Cenozoic Era, 
Hallasan Mountain was believed to have erupted 25,000 years ago, 
and the 360 or so volcanic cones surrounding the mountain present a unique view.

Furthermore, the majestic figure of Hallasan Mountain rising from the middle of the mountain makes it appear 
as if it is carrying itself with a benevolent yet tenacious spirit. 




This celebrated mountain possesses a view of nature that is constantly changing forms and colors 
according to the season, and this scenery is guaranteed to elicit gasps and exclamations from all who come across it. 
The mountain was designated as a National Park on March 24, 1970 and a UNESCO Biosphere Reserve in December 2002. 
Furthermore, the beautiful land of Jeju and Hallasan Mountain, which preserved the mystery of ancient times 
and connected Jeju to Jungmun with its western core, were acknowledged as god-given gifts 
and an unparalleled treasure that must be maintained by the people of the world, 
leading to the designation of the Jeju Volcanic Island and Lava Tubes as Korea’s first UNESCO World Natural Heritage Site on June 27, 2007 
as well as being recognized as Global Geopark on October 4, 2010.",20160530111636,20240810024523,"[{'seq': 41694, 'contentsid': {'value': 'CONT_000000000500685', 'label': 'Hallasan Mountain', 'refId': 'CONT_000000000500685'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000033', 'label': 'Mountains', 'refId': 'cate0000000009>cate0000000033'}, 'created': '20231106100847'}]",,586.0,,c1,Tourist Destination,contentscd>c1,region1,Jeju-si,region>region1,11,Jeju-si,region1>11,Hallasan Mountain,20255.0,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/661b71dc-cdec-4eee-8ad4-240285460226.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e9cb50d3-bb50-4f68-b6ae-05887ec8715d.jpg,nature,
"Sunrise,Night,Volcanic Cones,On Foot,Friends,Fall,volcaniccone,healing,naturalscenery,walking,travelonfoot,sunrise,touristdestination",CONT_000000000500466,Yongnuni Oreum Volcanic Cone,"Jongdallon-gil, Gujwa-eup, Jeju-si, Jeju-do","Jongdallon-gil, Gujwa-eup, Jeju-si, Jeju-do","Sunrise,Night,Volcanic Cones,On Foot,Friends,Fall,volcaniccone,healing,naturalscenery,walking,travelonfoot,sunrise,touristdestination","The Queen of Jeju-do Island's Volcanic Cones and Cherished by Many Photographers
From Feb. 1, 2021 to Jan. 31, 2023, a two-year closure of access to Yongnuni Volcanic Cone will be implemented to allow the ecosystem to rejuvenate.",118437,29,241,842,28,0,14,5.0,33.45993,126.831635,,,"There are three peaks centered on the northeast main peak at the mountain top, and within the summit is a slightly opened oval-shaped crater to the east and west. The overall figure of the cone forms a horseshoe-shaped crater that is open thinly to the east. All slopes of the volcanic cone are covered in grass, presenting the visage of a beautiful and classic Jeju volcanic cone.

Ground cover plants such as Ranunculus and Korean Pasque Flower grow naturally on the cone. The cone’s name is derived from the fact that it looks like a dragon (Yong) lying down, and is written as Yongwaak in Chinese characters. Another theory holds that the large dent in the middle of the mountain looks like a place where a dragon lied down, leading to the name Yongnuni Oreum Volcanic Cone.
",20160530111636,20240810020103,"[{'seq': 39342, 'contentsid': {'value': 'CONT_000000000500466', 'label': 'Yongnuni Oreum Volcanic Cone', 'refId': 'CONT_000000000500466'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000035', 'label': 'Volcanic Cones', 'refId': 'cate0000000009>cate0000000035'}, 'created': '20230717131849'}]",,475.0,,c1,Tourist Destination,contentscd>c1,region1,Jeju-si,region>region1,16,Gujwa,region1>16,용눈이오름,2019022583687.0,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/05e48ec9-c59b-4a4e-90bc-4a540e6d0700.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/21/0d54e8b8-0c7e-44b0-9a62-fb77a847f132.jpg,nature,
"Seaside,On Foot,Children,Overcast,Summer,forest,naturalscenery,kids,healing,hydrangea,Public Parking,Cash Payment,Credit Card Payment,Restrooms,Free WiFi,Exclusive Access,Step,Disabled Washrooms,Parking for Disabled Persons,Availability of Manual Wheelchair Rental,Difficult,Outdoor,Medium,Etc,산책로,Less than 1 hour",CONT_000000000500270,Bijarim Forest,"55, Bijasup-gil, Gujwa-eup, Jeju-si, Jeju-do","55, Bijasup-gil, Gujwa-eup, Jeju-si, Jeju-do","Seaside,On Foot,Children,Overcast,Summer,forest,naturalscenery,kids,healing,hydrangea,touristdestination","The Largest Single Species Forest in the World, Where About 2,800  Torreyas Block the Sky.",687900,94,219,2497,733,0,15,5.0,33.491318,126.811386,63351,064-710-7911,"The Forest of Torreyas is located 5.5km of from Pyeongdae Elementary School, Pyeongdae-ri, Gujwa-eup, Jeju-si 
and it is the world’s largest single-species forest. 
It is a very unique forest where 2,800 Torreyas 
that are 500 - 800 years old block the sight of the sky, and it is the first forest park in Jejudo Island. 

At the corner of the forest, there is a Torreya called the “Tree of One Thousand Years” 
that is known as the ancestor of Torreyas. 
This tree is 14m high, with a branch length of 6m, and its width of crown is 15m. 
It is estimated to be more than 820 years old, which makes it the oldest Torreya in Jejudo Island. 
The Forest of Torreyas retains its leaves during the winter, so the forest stays green all throughout year. 
A substance called phytoncide emanates from the Forest of Torreyas. 
Phytoncide is known to have natural healing powers, such as helping blood circulation, 
alleviating mental and physical fatigue, and stabilizing biorhythm. 
There are two ways to exit the forest through the walking trail. 

One course is a shorter one that takes about 40 minutes and the other is a longer course 
which takes about 80 minutes. Baby strollers and wheelchairs are allowed in the 40 minute course, 
so anybody can enjoy the beauty of the forest regardless of age or gender. 
The Forest of Torreya, which is visited by tourists throughout all year, 
is designated and protected as Natural Monument 374.",20160530111636,20240810035011,"[{'seq': 44104, 'contentsid': {'value': 'CONT_000000000500270', 'label': 'Bijarim Forest', 'refId': 'CONT_000000000500270'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000043', 'label': 'Recreation Forests', 'refId': 'cate0000000009>cate0000000043'}, 'created': '20240424145357'}]",,310.0,,c1,Tourist Destination,contentscd>c1,region1,Jeju-si,region>region1,16,Gujwa,region1>16,비자림,2019022569712.0,https://api.cdn.visitjeju.net/photomng/imgpath/202002/26/ec450675-3426-4159-b3da-d3c62d7a2273.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202002/26/a3124542-e5c6-4665-9766-a8a5746ed15c.jpg,nature,
"Waterfalls,Night,Landscapes,Parents,Sunny,Summer,naturalscenery,photospot,UNESCO,Public Parking,Cash Payment,Credit Card Payment,Restrooms,Beverage Stand,Hentian Minuman,Guidance and Information Facilities,Alarm and Evacuation Facilities,Keudahan Penggera dan Pemindahan,Exclusive Access,Step,Accessibility for the Visually Impaired,Ketercapaian untuk gangguan penglihatan,Disabled Washrooms,Parking for Disabled Persons,Availability of Manual Wheelchair Rental,Difficult,UNESCO Global Geopark,Outdoor,Medium,Less than 1 hour",CONT_000000000500618,Cheonjiyeon Falls,"666-1, Seohong-dong, Seogwipo-si, Jeju-do, Korea","2-15, Namseongjung-ro, Seogwipo-si, Jeju-do, Korea","Waterfalls,Night,Landscapes,Parents,Sunny,Summer,naturalscenery,photospot,UNESCO",Named to Mean 'The Sky Connected With the Land',441557,96,210,2764,307,0,18,5.0,33.2447173,126.5598201,,064-733-1528,"At Cheonjiyeon Falls, white water falls from the rock cliff and make a thundering sound. It gets its name because it means “sky connected with land.” It is 22m high and 12m wide, and the view and the sound that the waters create when they fall is magnificent. Not only Elaeocarpus, which is designated as Natural Monument 163, but also a variety of temperate plants such as brambles, Psilotum nudum (L.) Griseb., Siebold's chinquapin, Shiny xylosma, and camellias grow in the valley near Cheonjiyeon Falls. It is also famous for the Natural Habitat for Giant Mottled Eels (Natural Monument 27), which are nocturnal.


The Face of Cheonjiyeon Falls 

Recently, a picture that captured a reflection of a rock that looks like a face is gaining lot of attention. The rock itself does not look too unique, but when the surface of water reflects the rock, the rock and the reflection look like a face. When seen from the left, it looks like the face of an adult, but when viewed from the right, it looks like the face of a baby. A representative of the General Services Office for Tourist Attractions said, “you wouldn’t think that it looks like a face when you look at the rock only, but just like decalcomania, if you look at the reflection and the rock together, it magically looks like a human’s face. The face is clearer in the afternoon, when the sun starts sinking in the west, than in the morning.”",20160530111636,20240810031755,"[{'seq': 38242, 'contentsid': {'value': 'CONT_000000000500618', 'label': 'Cheonjiyeon Falls', 'refId': 'CONT_000000000500618'}, 'cate1cd': {'value': 'cate0000000002', 'label': 'Tourist Sites', 'refId': 'contscate>cate0000000002'}, 'cate2cd': {'value': 'cate0000000009', 'label': 'Natural Attractions', 'refId': 'cate0000000002>cate0000000009'}, 'cate3cd': {'value': 'cate0000000041', 'label': 'Waterfalls', 'refId': 'cate0000000009>cate0000000041'}, 'created': '20230707155021'}]",,294.0,,c1,Tourist Destination,contentscd>c1,region2,Seogwipo-si,region>region2,21,Seogwipo-si,region2>21,천지연폭포,2019022557647.0,https://api.cdn.visitjeju.net/photomng/imgpath/201907/11/7142cf44-ac03-420f-b07d-b83e06e8bfb9.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201907/11/3dad325d-b992-425e-9355-8d625d562574.jpg,nature,
